,date,PnL,return
0,2015-04-01,1000000.0,
1,2015-04-02,1000000.0,0.0
2,2015-04-06,1000000.0,0.0
3,2015-04-07,1000000.0,0.0
4,2015-04-08,1000000.0,0.0
5,2015-04-09,1000000.0,0.0
6,2015-04-10,1000000.0,0.0
7,2015-04-13,1002102.81659,0.002102816588821055
8,2015-04-14,1002777.31832,0.0006730863574488932
9,2015-04-15,1003724.91466,0.0009449718444576316
10,2015-04-16,1006370.36351,0.0026356313525339736
11,2015-04-17,1007210.80651,0.000835122963694479
12,2015-04-20,1009543.57695,0.0023160697106019423
13,2015-04-21,1007937.16435,-0.0015912266105849726
14,2015-04-22,1008930.53743,0.0009855506086711152
15,2015-04-23,1008501.71014,-0.00042503153449502395
16,2015-04-24,1006906.84422,-0.0015814211347459084
17,2015-04-27,1004576.61719,-0.0023142429181391977
18,2015-04-28,1004567.47257,-9.10295719236398e-06
19,2015-04-29,1005206.17943,0.000635802853654166
20,2015-04-30,1005114.6501,-9.105528149977449e-05
21,2015-05-01,1005819.02586,0.0007007914555476891
22,2015-05-04,1005626.28239,-0.0001916283782363859
23,2015-05-05,1006188.18457,0.0005587584422084291
24,2015-05-06,1007262.31896,0.0010675283314534045
25,2015-05-07,1004796.13319,-0.0024484046772119683
26,2015-05-08,1004645.29246,-0.0001501207300795837
27,2015-05-11,1004447.59354,-0.0001967847966742875
28,2015-05-12,1014759.66065,0.010266406309461962
29,2015-05-13,1019521.11251,0.004692196624817235
30,2015-05-14,1027307.17186,0.007636977065210715
31,2015-05-15,1023664.22015,-0.0035461172807899066
32,2015-05-18,1019943.98552,-0.003634233323134617
33,2015-05-19,1021633.46187,0.0016564403231111857
34,2015-05-20,1025687.84578,0.003968530848736718
35,2015-05-21,1023316.71608,-0.0023117459292655296
36,2015-05-22,1023185.39709,-0.00012832682319285915
37,2015-05-26,1026099.16055,0.002847737529292349
38,2015-05-27,1024945.21643,-0.0011245931808337994
39,2015-05-28,1025368.61604,0.0004130948707337101
40,2015-05-29,1025853.34589,0.0004727371623391985
41,2015-06-01,1024015.20617,-0.0017918153004928827
42,2015-06-02,1022516.66353,-0.001463398819770645
43,2015-06-03,1020813.31397,-0.0016658403923226484
44,2015-06-04,1019742.75461,-0.0010487317673710805
45,2015-06-05,1020644.8305,0.0008846112232359093
