ticker
AHH  US EQUITY
ASNA  US EQUITY
AMGN  US EQUITY
AA  US EQUITY
AAL  US EQUITY
AKR  US EQUITY
AVT  US EQUITY
AN  US EQUITY
AAN  US EQUITY
ALK  US EQUITY
AZO  US EQUITY
ANF  US EQUITY
ALKS  US EQUITY
AAP  US EQUITY
ANN  US EQUITY
BA  US EQUITY
ALV  US EQUITY
AOS  US EQUITY
AAT  US EQUITY
BBBY  US EQUITY
ABBV  US EQUITY
ARG  US EQUITY
ALXN  US EQUITY
BBY  US EQUITY
ABG  US EQUITY
ARW  US EQUITY
AMAT  US EQUITY
BCR  US EQUITY
AEO  US EQUITY
BECN  US EQUITY
AME  US EQUITY
BF  US EQUITY
BDX  US EQUITY
BFAM  US EQUITY
BKE  US EQUITY
BSX  US EQUITY
CASY  US EQUITY
BURL  US EQUITY
BFS  US EQUITY
BKS  US EQUITY
CAT  US EQUITY
BLMN  US EQUITY
BMW  US EQUITY
BGFV  US EQUITY
BWLD  US EQUITY
CATO  US EQUITY
BIG  US EQUITY
BMY  US EQUITY
BYD  US EQUITY
CBL  US EQUITY
BIIB  US EQUITY
BOBE  US EQUITY
CAB  US EQUITY
BOJA  US EQUITY
CBRL  US EQUITY
BJRI  US EQUITY
BRX  US EQUITY
CAG  US EQUITY
COTY  US EQUITY
CDR  US EQUITY
CHS  US EQUITY
CAKE  US EQUITY
CHUY  US EQUITY
CHEF  US EQUITY
CPB  US EQUITY
CAR  US EQUITY
CHH  US EQUITY
CMCSA  US EQUITY
CTRN  US EQUITY
DD  US EQUITY
DIS  US EQUITY
CMG  US EQUITY
COH  US EQUITY
CVS  US EQUITY
CWH  US EQUITY
DDR  US EQUITY
DKS  US EQUITY
CONN  US EQUITY
CZR  US EQUITY
DAI  US EQUITY
DDS  US EQUITY
DLPH  US EQUITY
COO  US EQUITY
DLTH  US EQUITY
DAL  US EQUITY
DE  US EQUITY
COST  US EQUITY
DLTR  US EQUITY
DPS  US EQUITY
DENN  US EQUITY
ETH  US EQUITY
DNKN  US EQUITY
DPZ  US EQUITY
DFRG  US EQUITY
ETN  US EQUITY
DOV  US EQUITY
DOW  US EQUITY
DRI  US EQUITY
DG  US EQUITY
EW  US EQUITY
FDX  US EQUITY
DSW  US EQUITY
DIN  US EQUITY
EXPR  US EQUITY
DXLG  US EQUITY
FINL  US EQUITY
FRAN  US EQUITY
F  US EQUITY
FIVE  US EQUITY
EAT  US EQUITY
FRED  US EQUITY
FAST  US EQUITY
FL  US EQUITY
FRGI  US EQUITY
EL  US EQUITY
FCAU  US EQUITY
FRPT  US EQUITY
FLO  US EQUITY
EMR  US EQUITY
FDO  US EQUITY
FRT  US EQUITY
FLS  US EQUITY
GPI  US EQUITY
FND  US EQUITY
GES  US EQUITY
FUN  US EQUITY
