"","ticker","quarter_end","iQuarter","tickerQ","signal_subrevenue","isRight","signal_theta","signal_RF","signal_perfect","signal_subrevenue2","announcement_date","sales","bbg","adj.Announcement.Date"
"375","gco us equity",2016-07-31,5,"gco5",1,0,"1","1",-1,"1","9/1/2016","625.557",641.375,"2016-08-31"
"376","gco us equity",2016-10-31,6,"gco6",-1,1,"1","1",-1,"-1","12/2/2016","710.822",712.9,"2016-12-01"
"377","gco us equity",2017-01-31,7,"gco7",-1,1,"1","-1",-1,"-1","3/10/2017","883.169",898.125,"2017-03-09"
"378","gco us equity",2017-04-30,8,"gco8",-1,1,"-1","1",-1,"-1","5/25/2017","643.368",644.778,"2017-05-24"
"379","gme us equity",2015-04-30,0,"gme0",-1,0,NA,NA,1,"-1","5/28/2015","2060.6",2016.813,"2015-05-28"
"380","gme us equity",2015-07-31,1,"gme1",-1,0,NA,NA,1,"-1","8/27/2015","1761.9",1736.813,"2015-08-27"
"381","gme us equity",2015-10-31,2,"gme2",-1,1,NA,NA,-1,"-1","11/23/2015","2016.3",2137.8,"2015-11-22"
"382","gme us equity",2016-01-31,3,"gme3",-1,1,NA,NA,-1,"-1","3/24/2016","3525",3565.6,"2016-03-24"
"383","gme us equity",2016-04-30,4,"gme4",1,1,NA,NA,1,"1","5/26/2016","1971.5",1969.2,"2016-05-26"
"384","gme us equity",2016-07-31,5,"gme5",1,0,NA,NA,-1,"1","8/25/2016","1631.8",1712.615,"2016-08-25"
"385","gme us equity",2016-10-31,6,"gme6",1,0,NA,NA,-1,"1","11/22/2016","1959.2",1985.818,"2016-11-22"
"386","gme us equity",2017-01-31,7,"gme7",1,0,NA,NA,-1,"1","3/23/2017","3045.4",3073.143,"2017-03-23"
"387","gme us equity",2017-04-30,8,"gme8",1,1,NA,NA,1,"1","5/25/2017","2045.9",1944.917,"2017-05-25"
"388","gps us equity",2015-04-30,0,"gps0",-1,1,NA,NA,-1,"-1","5/21/2015","3657",3659.87,"2015-05-21"
"389","gps us equity",2015-07-31,1,"gps1",-1,1,NA,NA,-1,"-1","8/20/2015","3898",3901.211,"2015-08-20"
"390","gps us equity",2015-10-31,2,"gps2",-1,1,NA,NA,-1,"-1","11/19/2015","3857",3860.478,"2015-11-19"
"391","gps us equity",2016-01-31,3,"gps3",-1,1,NA,NA,-1,"-1","2/25/2016","4385",4390.765,"2016-02-25"
"392","gps us equity",2016-04-30,4,"gps4",1,0,NA,NA,-1,"1","5/19/2016","3438",3440,"2016-05-19"
"393","gps us equity",2016-07-31,5,"gps5",-1,0,NA,NA,1,"-1","8/18/2016","3851",3850.048,"2016-08-18"
"394","gps us equity",2016-10-31,6,"gps6",1,0,NA,NA,-1,"1","11/17/2016","3798",3800.053,"2016-11-17"
"395","gps us equity",2017-01-31,7,"gps7",1,0,NA,NA,-1,"1","2/23/2017","4429",4429.444,"2017-02-23"
"396","gps us equity",2017-04-30,8,"gps8",1,1,NA,NA,1,"1","5/18/2017","3440",3389.125,"2017-05-18"
"397","habt us equity",2015-03-31,0,"habt0",1,1,NA,NA,1,NA,"4/30/2015","54.583",53.913,"2015-04-30"
"398","habt us equity",2015-06-30,1,"habt1",-1,0,NA,NA,1,NA,"8/5/2015","56.73",55.763,"2015-08-05"
"399","habt us equity",2015-09-30,2,"habt2",1,1,NA,NA,1,NA,"11/4/2015","58.648",57.733,"2015-11-04"
"400","habt us equity",2015-12-31,3,"habt3",1,1,NA,NA,1,NA,"3/2/2016","60.641",60.59,"2016-03-02"
"401","habt us equity",2016-03-31,4,"habt4",1,0,NA,NA,-1,NA,"5/4/2016","66.957",67.444,"2016-05-04"
"402","habt us equity",2016-06-30,5,"habt5",-1,0,NA,NA,1,NA,"8/3/2016","71.116",71.022,"2016-08-03"
"403","habt us equity",2016-09-30,6,"habt6",1,0,NA,NA,-1,"1","11/2/2016","71.885",72.133,"2016-11-02"
"404","habt us equity",2016-12-31,7,"habt7",1,1,NA,NA,1,"1","3/2/2017","73.852",73.163,"2017-03-02"
"405","habt us equity",2017-03-31,8,"habt8",-1,1,NA,NA,-1,"-1","5/3/2017","78.636",78.729,"2017-05-03"
"406","hd us equity",2015-04-30,0,"hd0",1,1,NA,NA,1,"1","5/19/2015","20891",20818.136,"2015-05-18"
"407","hd us equity",2015-07-31,1,"hd1",-1,0,NA,NA,1,"-1","8/18/2015","24829",24683.19,"2015-08-17"
"408","hd us equity",2015-10-31,2,"hd2",1,1,NA,NA,1,"1","11/17/2015","21819",21777.545,"2015-11-16"
"409","hd us equity",2016-01-31,3,"hd3",1,1,NA,NA,1,"1","2/23/2016","20980",20379.571,"2016-02-22"
"410","hd us equity",2016-04-30,4,"hd4",1,1,NA,NA,1,"1","5/17/2016","22762",22387.318,"2016-05-16"
"411","hd us equity",2016-07-31,5,"hd5",-1,1,NA,NA,-1,"-1","8/16/2016","26472",26493.25,"2016-08-15"
"412","hd us equity",2016-10-31,6,"hd6",1,1,NA,NA,1,"1","11/15/2016","23154",23044.083,"2016-11-14"
"413","hd us equity",2017-01-31,7,"hd7",-1,0,NA,NA,1,"-1","2/21/2017","22207",21801.92,"2017-02-20"
"414","hd us equity",2017-04-30,8,"hd8",1,1,NA,NA,1,"1","5/16/2017","23887",23747.458,"2017-05-15"
"415","hibb us equity",2015-04-30,0,"hibb0",-1,1,NA,NA,-1,"-1","5/22/2015","269.823",272.941,"2015-05-21"
"416","hibb us equity",2015-07-31,1,"hibb1",1,1,NA,NA,1,"1","8/21/2015","199.261",199,"2015-08-20"
"417","hibb us equity",2015-10-31,2,"hibb2",-1,1,NA,NA,-1,"-1","11/20/2015","228.301",233.625,"2015-11-19"
"418","hibb us equity",2016-01-31,3,"hibb3",-1,1,NA,NA,-1,"-1","3/11/2016","245.719",247.118,"2016-03-10"
"419","hibb us equity",2016-04-30,4,"hibb4",-1,1,NA,NA,-1,"-1","5/20/2016","282.092",285.118,"2016-05-19"
"420","hibb us equity",2016-07-31,5,"hibb5",1,0,NA,NA,-1,"1","8/19/2016","206.933",209.438,"2016-08-18"
"421","hibb us equity",2016-10-31,6,"hibb6",1,0,NA,NA,-1,"1","11/18/2016","237.006",237.235,"2016-11-17"
"422","hibb us equity",2017-01-31,7,"hibb7",1,1,NA,NA,1,"1","3/10/2017","246.929",246.875,"2017-03-09"
"423","hibb us equity",2017-04-30,8,"hibb8",-1,0,NA,NA,1,"-1","5/18/2017","275.688",275.467,"2017-05-17"
"424","htz us equity",2016-06-30,5,"htz5",1,NA,"1","1",1,"1","8/8/2016","2270",2270,"2016-08-08"
"425","htz us equity",2016-09-30,6,"htz6",-1,1,"-1","-1",-1,"-1","11/7/2016","2542",2599.571,"2016-11-07"
"426","htz us equity",2016-12-31,7,"htz7",1,0,"1","1",-1,"1","2/27/2017","2009",2016,"2017-02-27"
"427","htz us equity",2017-03-31,8,"htz8",-1,1,"1","1",-1,"-1","5/8/2017","1916",1953.833,"2017-05-08"
"428","hvt us equity",2015-03-31,0,"hvt0",1,0,"1","1",-1,"1","5/4/2015","191.331",192.5,"2015-05-04"
"429","hvt us equity",2015-06-30,1,"hvt1",1,1,"1","1",1,"1","7/29/2015","187.732",185,"2015-07-29"
"430","hvt us equity",2015-09-30,2,"hvt2",-1,1,"-1","-1",-1,"-1","10/28/2015","209.921",211,"2015-10-28"
"431","hvt us equity",2015-12-31,3,"hvt3",-1,1,"-1","-1",-1,"-1","2/24/2016","215.886",216,"2016-02-24"
"432","hvt us equity",2016-03-31,4,"hvt4",1,0,"1","1",-1,"1","5/2/2016","194.511",196.667,"2016-05-02"
"433","hvt us equity",2016-06-30,5,"hvt5",1,0,"1","1",-1,"1","8/1/2016","194.774",195,"2016-08-01"
"434","hvt us equity",2016-09-30,6,"hvt6",-1,1,"-1","-1",-1,"-1","10/31/2016","212",218,"2016-10-31"
"435","hvt us equity",2016-12-31,7,"hvt7",-1,1,"-1","-1",-1,"-1","2/21/2017","220.595",221,"2017-02-21"
"436","hvt us equity",2017-03-31,8,"hvt8",1,1,"1","1",1,"1","5/1/2017","200.427",200,"2017-05-01"
"437","hzo us equity",2015-03-31,0,"hzo0",1,0,"1","1",-1,"1","4/23/2015","172.143",173.286,"2015-04-22"
"438","hzo us equity",2015-06-30,1,"hzo1",-1,1,"-1","-1",-1,"-1","7/22/2015","231.849",237.5,"2015-07-21"
"439","hzo us equity",2015-09-30,2,"hzo2",-1,0,"-1","1",1,"-1","11/3/2015","189.252",179.375,"2015-11-02"
"440","hzo us equity",2015-12-31,3,"hzo3",1,1,"1","1",1,"1","2/4/2016","169.537",150.125,"2016-02-03"
"441","hzo us equity",2016-03-31,4,"hzo4",1,1,"1","1",1,"1","4/26/2016","199.566",191.571,"2016-04-25"
"442","hzo us equity",2016-06-30,5,"hzo5",-1,0,"-1","-1",1,"-1","7/26/2016","345.592",269.429,"2016-07-25"
"443","hzo us equity",2016-09-30,6,"hzo6",1,1,"1","1",1,"1","11/1/2016","227.355",220.286,"2016-10-31"
"444","hzo us equity",2016-12-31,7,"hzo7",1,1,"1","1",1,"1","1/24/2017","226.875",186.143,"2017-01-23"
"445","hzo us equity",2017-03-31,8,"hzo8",-1,0,"-1","-1",1,"-1","4/27/2017","245.018",239.286,"2017-04-26"
"446","isca us equity",2015-05-31,0,"isca0",-1,1,"1","-1",-1,"-1","7/2/2015","164.01",172.5,"2015-07-01"
"447","isca us equity",2015-08-31,1,"isca1",1,1,"1","1",1,"1","10/8/2015","125.49",121,"2015-10-07"
"448","isca us equity",2015-11-30,2,"isca2",-1,0,"-1","-1",1,"-1","1/26/2016","219.318",217,"2016-01-25"
"449","isca us equity",2016-02-29,3,"isca3",1,0,"1","1",-1,"1","4/5/2016","142.63",146,"2016-04-04"
"450","isca us equity",2016-05-31,4,"isca4",1,1,"1","1",1,"1","7/5/2016","167.561",163.5,"2016-07-04"
"451","isca us equity",2016-08-31,5,"isca5",1,0,"-1","1",-1,"1","10/6/2016","128.986",131,"2016-10-05"
"452","isca us equity",2016-11-30,6,"isca6",-1,1,"-1","-1",-1,"-1","1/26/2017","221.839",223,"2017-01-25"
"453","isca us equity",2017-02-28,7,"isca7",1,1,"1","1",1,"1","4/4/2017","147.954",143,"2017-04-03"
"454","jack us equity",2015-03-31,0,"jack0",-1,0,"-1","-1",1,NA,"5/13/2015","358.122",356,"2015-05-13"
"455","jack us equity",2015-06-30,1,"jack1",1,1,"1","-1",1,"-1","8/5/2015","359.506",358.8,"2015-08-05"
"456","jack us equity",2015-09-30,2,"jack2",-1,1,"-1","1",-1,"-1","11/17/2015","354.068",356.7,"2015-11-17"
"457","jack us equity",2015-12-31,3,"jack3",-1,1,"-1","-1",-1,"-1","2/17/2016","470.823",474.455,"2016-02-17"
"458","jack us equity",2016-03-31,4,"jack4",1,1,"1","1",1,"1","5/11/2016","361.151",360.308,"2016-05-11"
"459","jack us equity",2016-06-30,5,"jack5",-1,0,"1","1",1,"-1","8/3/2016","368.938",367.071,"2016-08-03"
"460","jack us equity",2016-09-30,6,"jack6",1,0,"1","1",-1,"1","11/21/2016","398.419",398.467,"2016-11-21"
"461","jack us equity",2016-12-31,7,"jack7",-1,1,"-1","-1",-1,"-1","2/22/2017","487.933",500.071,"2017-02-22"
"462","jack us equity",2017-03-31,8,"jack8",-1,0,"1","1",1,"-1","5/16/2017","369.389",369.2,"2017-05-16"
"463","jcp us equity",2015-04-30,0,"jcp0",-1,1,NA,NA,-1,"-1","5/13/2015","2857",2864.261,"2015-05-13"
"464","jcp us equity",2015-07-31,1,"jcp1",1,1,NA,NA,1,"1","8/14/2015","2875",2860.8,"2015-08-13"
"465","jcp us equity",2015-10-31,2,"jcp2",-1,0,NA,NA,1,"-1","11/13/2015","2897",2879.913,"2015-11-12"
"466","jcp us equity",2016-01-31,3,"jcp3",-1,0,NA,NA,1,"-1","2/25/2016","3996",3983.864,"2016-02-25"
"467","jcp us equity",2016-04-30,4,"jcp4",1,0,NA,NA,-1,"1","5/13/2016","2811",2923.4,"2016-05-12"
"468","jcp us equity",2016-07-31,5,"jcp5",-1,1,NA,NA,-1,"-1","8/12/2016","2918",2926.421,"2016-08-11"
"469","jcp us equity",2016-10-31,6,"jcp6",1,0,NA,NA,-1,"1","11/11/2016","2857",2949.6,"2016-11-10"
"470","jcp us equity",2017-01-31,7,"jcp7",1,0,NA,NA,-1,"1","2/24/2017","3961",3977.053,"2017-02-23"
"471","jcp us equity",2017-04-30,8,"jcp8",1,0,NA,NA,-1,"1","5/12/2017","2706",2770.579,"2017-05-11"
"472","jwn us equity",2015-04-30,0,"jwn0",-1,0,NA,NA,1,"-1","5/14/2015","3215",3170.55,"2015-05-14"
"473","jwn us equity",2015-07-31,1,"jwn1",-1,0,NA,NA,1,"-1","8/13/2015","3701",3680.25,"2015-08-13"
"474","jwn us equity",2015-10-31,2,"jwn2",1,0,NA,NA,-1,"1","11/12/2015","3328",3383.091,"2015-11-12"
"475","jwn us equity",2016-01-31,3,"jwn3",-1,1,NA,NA,-1,"-1","2/18/2016","4194",4216.583,"2016-02-18"
"476","jwn us equity",2016-04-30,4,"jwn4",1,0,NA,NA,-1,"1","5/12/2016","3249",3281.304,"2016-05-12"
"477","jwn us equity",2016-07-31,5,"jwn5",-1,1,NA,NA,-1,"-1","8/11/2016","3651",3678.591,"2016-08-11"
"478","jwn us equity",2016-10-31,6,"jwn6",1,1,NA,NA,1,"1","11/10/2016","3542",3479.208,"2016-11-10"
"479","jwn us equity",2017-01-31,7,"jwn7",-1,1,NA,NA,-1,"-1","2/23/2017","4316",4338.12,"2017-02-23"
"480","jwn us equity",2017-04-30,8,"jwn8",-1,0,NA,NA,1,"-1","5/11/2017","3354",3333.208,"2017-05-11"
"481","kmx us equity",2015-05-31,0,"kmx0",-1,1,NA,NA,-1,"-1","6/19/2015","4014.888",4153.429,"2015-06-18"
"482","kmx us equity",2015-08-31,1,"kmx1",-1,1,NA,NA,-1,"-1","9/22/2015","3884.913",3959.357,"2015-09-21"
"483","kr us equity",2015-04-30,0,"kr0",-1,1,NA,NA,-1,NA,"6/18/2015","33051",33406.25,"2015-06-17"
"484","kr us equity",2015-04-30,0,"kr0",1,0,NA,NA,-1,NA,"6/18/2015","33051",33406.25,"2015-06-17"
"485","kr us equity",2015-07-31,1,"kr1",1,0,NA,NA,-1,"1","9/11/2015","25539",25613.462,"2015-09-10"
"486","kr us equity",2015-07-31,1,"kr1",1,0,NA,NA,-1,"1","9/11/2015","25539",25613.462,"2015-09-10"
"487","kr us equity",2015-10-31,2,"kr2",1,0,NA,NA,-1,"1","12/3/2015","25075",25201.294,"2015-12-02"
"488","kr us equity",2016-01-31,3,"kr3",-1,1,NA,NA,-1,"-1","3/3/2016","26165",26275.895,"2016-03-02"
"489","kr us equity",2016-04-30,4,"kr4",-1,1,NA,NA,-1,"-1","6/16/2016","34604",34706.857,"2016-06-15"
"490","kr us equity",2016-07-31,5,"kr5",-1,1,NA,NA,-1,"-1","9/9/2016","26565",26722,"2016-09-08"
"491","kr us equity",2016-10-31,6,"kr6",1,1,NA,NA,1,"1","12/1/2016","26557",26320,"2016-11-30"
"492","kr us equity",2017-01-31,7,"kr7",1,1,NA,NA,1,"1","3/2/2017","27611",27308.667,"2017-03-01"
"493","kss us equity",2015-04-30,0,"kss0",-1,1,NA,NA,-1,"-1","5/14/2015","4123",4186.65,"2015-05-13"
"494","kss us equity",2015-07-31,1,"kss1",1,0,NA,NA,-1,"1","8/13/2015","4267",4312.857,"2015-08-12"
"495","kss us equity",2015-10-31,2,"kss2",-1,0,NA,NA,1,"-1","11/12/2015","4427",4399,"2015-11-11"
"496","kss us equity",2016-01-31,3,"kss3",-1,1,NA,NA,-1,"-1","2/25/2016","6387",6388,"2016-02-24"
"497","kss us equity",2016-04-30,4,"kss4",1,0,NA,NA,-1,"1","5/12/2016","3972",4131.111,"2016-05-11"
"498","kss us equity",2016-07-31,5,"kss5",1,1,NA,NA,1,"1","8/11/2016","4182",4163.158,"2016-08-10"
"499","kss us equity",2016-10-31,6,"kss6",1,1,NA,NA,1,"1","11/10/2016","4327",4326.8,"2016-11-09"
"500","kss us equity",2017-01-31,7,"kss7",-1,1,NA,NA,-1,"-1","2/23/2017","6205",6214.105,"2017-02-22"
"501","kss us equity",2017-04-30,8,"kss8",1,0,NA,NA,-1,"1","5/11/2017","3843",3905.833,"2017-05-10"
"502","lad us equity",2015-03-31,0,"lad0",1,1,"1","1",1,NA,"4/22/2015","1789.178",1765.8,"2015-04-21"
"503","lad us equity",2015-06-30,1,"lad1",-1,0,"-1","-1",1,NA,"7/22/2015","1996.947",1924,"2015-07-21"
"504","lad us equity",2015-09-30,2,"lad2",-1,0,"-1","-1",1,"-1","10/21/2015","2084.845",2066.667,"2015-10-20"
"505","lad us equity",2015-12-31,3,"lad3",1,0,"1","1",-1,"1","2/24/2016","1993.282",2000.5,"2016-02-23"
"506","lad us equity",2016-03-31,4,"lad4",-1,0,"1","1",1,"1","4/21/2016","1982.861",1951,"2016-04-20"
"507","lad us equity",2016-06-30,5,"lad5",1,0,"1","1",-1,"1","7/28/2016","2133.339",2167.667,"2016-07-27"
"508","lad us equity",2016-09-30,6,"lad6",-1,0,"-1","-1",1,"-1","10/20/2016","2269.967",2249,"2016-10-19"
"509","lad us equity",2016-12-31,7,"lad7",1,1,"-1","-1",1,"1","2/15/2017","2291.99",2217.875,"2017-02-14"
"510","lad us equity",2017-03-31,8,"lad8",-1,1,"1","-1",-1,"-1","4/19/2017","2236.101",2236.889,"2017-04-18"
"511","lb us equity",2015-04-30,0,"lb0",-1,1,NA,NA,-1,"-1","5/20/2015","2511.939",2512,"2015-05-20"
"512","lb us equity",2015-07-31,1,"lb1",-1,0,NA,NA,1,"-1","8/19/2015","2765.237",2765,"2015-08-19"
"513","lb us equity",2015-10-31,2,"lb2",1,0,NA,NA,-1,"1","11/18/2015","2481.575",2482,"2015-11-18"
"514","lb us equity",2016-01-31,3,"lb3",-1,0,NA,NA,1,"-1","2/24/2016","4395.039",4395,"2016-02-24"
"515","lb us equity",2016-04-30,4,"lb4",1,0,NA,NA,-1,"1","5/18/2016","2613.815",2614.077,"2016-05-18"
"516","lb us equity",2016-07-31,5,"lb5",1,0,NA,NA,-1,"1","8/17/2016","2889.744",2890,"2016-08-17"
"517","lb us equity",2016-10-31,6,"lb6",1,0,NA,NA,-1,"1","11/16/2016","2580.979",2581,"2016-11-16"
"518","lb us equity",2017-01-31,7,"lb7",-1,1,NA,NA,-1,"-1","2/22/2017","4489.483",4489.818,"2017-02-22"
"519","lb us equity",2017-04-30,8,"lb8",-1,1,NA,NA,-1,"-1","5/17/2017","2436.523",2437.72,"2017-05-17"
"520","ll us equity",2015-03-31,0,"ll0",-1,0,NA,NA,1,"-1","4/29/2015","259.961",259.267,"2015-04-28"
"521","ll us equity",2015-06-30,1,"ll1",-1,1,NA,NA,-1,"-1","8/5/2015","247.944",258.357,"2015-08-04"
"522","ll us equity",2015-09-30,2,"ll2",-1,1,NA,NA,-1,"-1","11/4/2015","236.064",257.769,"2015-11-03"
"523","ll us equity",2015-12-31,3,"ll3",-1,1,NA,NA,-1,"-1","2/29/2016","234.8",251.417,"2016-02-28"
"524","ll us equity",2016-03-31,4,"ll4",-1,1,NA,NA,-1,"-1","5/10/2016","233.513",238.455,"2016-05-09"
"525","ll us equity",2016-06-30,5,"ll5",-1,1,NA,NA,-1,"-1","7/27/2016","238.092",240.4,"2016-07-26"
"526","ll us equity",2016-09-30,6,"ll6",1,1,NA,NA,1,"1","10/31/2016","244.082",231.8,"2016-10-30"
"527","ll us equity",2016-12-31,7,"ll7",-1,0,NA,NA,1,"-1","2/21/2017","244.901",242.5,"2017-02-20"
"528","ll us equity",2017-03-31,8,"ll8",1,1,NA,NA,1,"1","5/2/2017","248.389",247.091,"2017-05-01"
"529","loco us equity",2015-03-31,0,"loco0",1,1,NA,NA,1,NA,"5/14/2015","90.426",88.5,"2015-05-14"
"530","loco us equity",2015-06-30,1,"loco1",-1,1,NA,NA,-1,NA,"8/13/2015","89.5",92.95,"2015-08-13"
"531","loco us equity",2015-09-30,2,"loco2",1,0,NA,NA,-1,NA,"11/12/2015","88.87",90.4,"2015-11-12"
"532","loco us equity",2015-12-31,3,"loco3",1,0,NA,NA,-1,NA,"3/10/2016","86.307",88.05,"2016-03-10"
"533","loco us equity",2016-03-31,4,"loco4",-1,1,NA,NA,-1,"-1","5/5/2016","94.354",96.617,"2016-05-05"
"534","loco us equity",2016-06-30,5,"loco5",-1,0,NA,NA,1,"-1","8/4/2016","97.474",96.667,"2016-08-04"
"535","loco us equity",2016-09-30,6,"loco6",-1,1,NA,NA,-1,"-1","11/3/2016","95.816",97.25,"2016-11-03"
"536","loco us equity",2016-12-31,7,"loco7",1,1,NA,NA,1,"1","3/9/2017","92.479",91.68,"2017-03-09"
"537","loco us equity",2017-03-31,8,"loco8",-1,1,NA,NA,-1,"-1","5/4/2017","99.771",99.98,"2017-05-04"
"538","low us equity",2015-04-30,0,"low0",1,0,NA,NA,-1,"1","5/20/2015","14129",14254.714,"2015-05-19"
"539","low us equity",2015-07-31,1,"low1",-1,0,NA,NA,1,"-1","8/19/2015","17348",17270.286,"2015-08-18"
"540","low us equity",2015-10-31,2,"low2",1,1,NA,NA,1,"1","11/18/2015","14360",14314.909,"2015-11-17"
"541","low us equity",2016-01-31,3,"low3",1,1,NA,NA,1,"1","2/24/2016","13236",13061.429,"2016-02-23"
"542","low us equity",2016-04-30,4,"low4",1,1,NA,NA,1,"1","5/18/2016","15234",14871.476,"2016-05-17"
"543","low us equity",2016-07-31,5,"low5",-1,1,NA,NA,-1,"-1","8/17/2016","18260",18435.609,"2016-08-16"
"544","low us equity",2016-10-31,6,"low6",1,0,NA,NA,-1,"1","11/16/2016","15739",15836,"2016-11-15"
"545","low us equity",2017-01-31,7,"low7",-1,0,NA,NA,1,"-1","3/1/2017","15784",15368.72,"2017-02-28"
"546","low us equity",2017-04-30,8,"low8",1,0,NA,NA,-1,"1","5/24/2017","16860",16946.375,"2017-05-23"
"547","mcd us equity",2015-03-31,0,"mcd0",1,1,"1","1",1,"1","4/22/2015","5958.9",5952.789,"2015-04-21"
"548","mcd us equity",2015-06-30,1,"mcd1",-1,0,"-1","1",1,"-1","7/23/2015","6497.7",6428.143,"2015-07-22"
"549","mcd us equity",2015-09-30,2,"mcd2",-1,0,"-1","-1",1,"-1","10/22/2015","6615.1",6406.048,"2015-10-21"
"550","mcd us equity",2015-12-31,3,"mcd3",-1,0,"-1","-1",1,"-1","1/25/2016","6341.3",6235.857,"2016-01-24"
"551","mcd us equity",2016-03-31,4,"mcd4",1,1,"1","1",1,"1","4/22/2016","5903.9",5813.25,"2016-04-21"
"552","mcd us equity",2016-06-30,5,"mcd5",1,0,"1","-1",-1,"1","7/26/2016","6265",6266.875,"2016-07-25"
"553","mcd us equity",2016-09-30,6,"mcd6",-1,0,"-1","-1",1,"-1","10/21/2016","6424.1",6277.538,"2016-10-20"
"554","mcd us equity",2016-12-31,7,"mcd7",1,1,"1","1",1,"1","1/23/2017","6028.9",5997.423,"2017-01-22"
"555","mcd us equity",2017-03-31,8,"mcd8",1,1,"1","1",1,"1","4/25/2017","5675.9",5529.24,"2017-04-24"
"556","mik us equity",2015-04-30,0,"mik0",1,0,"1","-1",-1,NA,"6/4/2015","1077.6",1080.786,"2015-06-03"
"557","mik us equity",2015-07-31,1,"mik1",-1,1,"-1","1",-1,NA,"8/27/2015","984.27",985.417,"2015-08-26"
"558","mik us equity",2015-10-31,2,"mik2",-1,1,"-1",NA,-1,NA,"12/3/2015","1168.423",1175,"2015-12-02"
"559","mik us equity",2016-01-31,3,"mik3",-1,0,"-1","-1",1,"-1","3/17/2016","1682.489",1654.286,"2016-03-16"
"560","mik us equity",2016-04-30,4,"mik4",1,0,"1","1",-1,"1","6/7/2016","1158.88",1167.643,"2016-06-06"
"561","mik us equity",2016-07-31,5,"mik5",-1,0,"-1","1",1,"-1","8/25/2016","1060.353",1052.077,"2016-08-24"
"562","mik us equity",2016-10-31,6,"mik6",1,0,"1","1",-1,"-1","12/6/2016","1227.206",1257.857,"2016-12-05"
"563","mik us equity",2017-01-31,7,"mik7",-1,1,"-1","-1",-1,"-1","3/7/2017","1750.854",1761.286,"2017-03-06"
"564","mik us equity",2017-04-30,8,"mik8",1,0,"1","1",-1,"1","6/6/2017","1158.563",1168.692,"2017-06-05"
"565","mnro us equity",2015-03-31,0,"mnro0",-1,1,"-1","-1",-1,"-1","5/21/2015","219.133",226.286,"2015-05-20"
"566","mnro us equity",2015-06-30,1,"mnro1",-1,1,"-1","-1",-1,"-1","7/23/2015","236.52",240,"2015-07-22"
"567","mnro us equity",2015-09-30,2,"mnro2",-1,1,"-1","-1",-1,"-1","10/22/2015","239.155",239.778,"2015-10-21"
"568","mnro us equity",2015-12-31,3,"mnro3",1,0,"1","1",-1,"1","1/26/2016","238.942",239.111,"2016-01-25"
"569","mnro us equity",2016-03-31,4,"mnro4",1,0,"1","1",-1,"1","5/19/2016","229.034",238.889,"2016-05-18"
"570","mnro us equity",2016-06-30,5,"mnro5",1,1,"1","1",1,"1","7/28/2016","236.894",235.4,"2016-07-27"
"571","mnro us equity",2016-09-30,6,"mnro6",-1,1,"-1","1",-1,"-1","10/20/2016","248.584",249.667,"2016-10-19"
"572","mnro us equity",2016-12-31,7,"mnro7",-1,0,"-1","-1",1,"-1","2/1/2017","288.283",279.2,"2017-01-31"
"573","mnro us equity",2017-03-31,8,"mnro8",-1,0,"-1","-1",1,"-1","5/18/2017","252.011",252,"2017-05-17"
"574","musa us equity",2015-03-31,0,"musa0",-1,1,NA,NA,-1,"-1","5/4/2015","2962.515",3948.667,"2015-05-04"
"575","musa us equity",2015-06-30,1,"musa1",-1,1,NA,NA,-1,"-1","8/5/2015","3517.221",3736.2,"2015-08-05"
"576","musa us equity",2015-09-30,2,"musa2",-1,1,NA,NA,-1,"-1","11/4/2015","3382.507",3684.4,"2015-11-04"
"577","musa us equity",2015-12-31,3,"musa3",-1,1,NA,NA,-1,"-1","2/3/2016","2928.154",3236.8,"2016-02-03"
"578","musa us equity",2016-03-31,4,"musa4",1,0,NA,NA,-1,"1","5/9/2016","2490.262",2596,"2016-05-08"
"579","musa us equity",2016-06-30,5,"musa5",1,0,NA,NA,-1,"1","8/3/2016","3005.762",3100,"2016-08-03"
"580","musa us equity",2016-09-30,6,"musa6",-1,1,NA,NA,-1,"-1","11/2/2016","3042.738",3144,"2016-11-02"
"581","musa us equity",2016-12-31,7,"musa7",-1,1,NA,NA,-1,"-1","2/1/2017","3055.791",3107.833,"2017-02-01"
"582","musa us equity",2017-03-31,8,"musa8",-1,0,NA,NA,1,"-1","5/1/2017","2999.618",2950.4,"2017-05-01"
"583","m us equity",2015-04-30,0,"m0",-1,1,NA,NA,-1,"-1","5/13/2015","6232",6313.059,"2015-05-12"
"584","m us equity",2015-07-31,1,"m1",1,0,NA,NA,-1,"1","8/12/2015","6104",6222.263,"2015-08-11"
"585","m us equity",2015-10-31,2,"m2",-1,1,NA,NA,-1,"-1","11/11/2015","5874",6104.056,"2015-11-10"
"586","m us equity",2016-01-31,3,"m3",-1,0,NA,NA,1,"-1","2/23/2016","8869",8831.941,"2016-02-22"
"587","m us equity",2016-04-30,4,"m4",1,0,NA,NA,-1,"1","5/11/2016","5771",5932.882,"2016-05-10"
"588","m us equity",2016-07-31,5,"m5",1,1,NA,NA,1,"1","8/11/2016","5866",5757.529,"2016-08-10"
"589","m us equity",2016-10-31,6,"m6",1,0,NA,NA,-1,"1","11/10/2016","5626",5634.176,"2016-11-09"
"590","m us equity",2017-01-31,7,"m7",-1,1,NA,NA,-1,"-1","2/21/2017","8515",8619.316,"2017-02-20"
