,ticker,date,volume
333,FIVE,2017-05-10,-0.0243902439
342,FL,2017-05-10,-0.0243902439
3511,FRAN,2017-05-10,-0.0243902439
378,GCO,2017-05-10,-0.0243902439
387,GME,2017-05-10,0.0243902439
396,GPS,2017-05-10,0.0243902439
414,HD,2017-05-10,0.0243902439
423,HIBB,2017-05-10,-0.0243902439
471,JCP,2017-05-10,0.0243902439
480,JWN,2017-05-10,-0.0243902439
519,LB,2017-05-10,-0.0243902439
546,LOW,2017-05-10,0.0243902439
564,MIK,2017-05-10,0.0243902439
635,PLAY,2017-05-10,-0.0243902439
644,PLCE,2017-05-10,-0.0243902439
679,RH,2017-05-10,0.0243902439
688,ROST,2017-05-10,-0.0243902439
7611,SHLD,2017-05-10,0.0243902439
770,SIG,2017-05-10,0.0243902439
788,SMRT,2017-05-10,-0.0243902439
805,SPLS,2017-05-10,-0.0243902439
814,SPWH,2017-05-10,0.0243902439
840,TGT,2017-05-10,0.0243902439
849,TITN,2017-05-10,0.0243902439
9121,WMT,2017-05-10,0.0243902439
930,WSM,2017-05-10,-0.0243902439
2710,AEO,2017-05-17,close all
621,BBY,2017-05-25,close all
717,BIG,2017-05-26,close all
1091,BOBE,2017-06-15,close all
1181,BURL,2017-05-25,close all
1631,CASY,2017-06-06,close all
1721,CATO,2017-05-18,close all
1812,CBRL,2017-05-23,close all
2171,CONN,2017-06-06,close all
2351,CTRN,2017-05-17,close all
2711,DG,2017-06-01,close all
2801,DKS,2017-05-16,close all
2891,DLTR,2017-05-25,close all
3071,DSW,2017-05-23,close all
3161,EXPR,2017-06-01,close all
3331,FIVE,2017-06-02,close all
3421,FL,2017-05-19,close all
3512,FRAN,2017-06-06,close all
3781,GCO,2017-05-25,close all
3871,GME,2017-05-26,close all
3961,GPS,2017-05-19,close all
4141,HD,2017-05-16,close all
4231,HIBB,2017-05-18,close all
4711,JCP,2017-05-12,close all
4801,JWN,2017-05-12,close all
5191,LB,2017-05-18,close all
5461,LOW,2017-05-24,close all
5641,MIK,2017-06-06,close all
6351,PLAY,2017-06-07,close all
6441,PLCE,2017-05-18,close all
6791,RH,2017-06-02,close all
6881,ROST,2017-05-19,close all
7612,SHLD,2017-05-25,close all
7701,SIG,2017-05-25,close all
7881,SMRT,2017-05-18,close all
8051,SPLS,2017-05-16,close all
8141,SPWH,2017-05-19,close all
8401,TGT,2017-05-17,close all
8491,TITN,2017-05-25,close all
9122,WMT,2017-05-18,close all
9301,WSM,2017-05-25,close all
38,AZO,2015-09-10,-0.1
47,BBBY,2015-09-10,-0.1
219,COST,2015-09-10,-0.1
318,FINL,2015-09-10,-0.1
447,ISCA,2015-09-10,0.1
482,KMX,2015-09-10,-0.1
620,PIR,2015-09-10,-0.1
655,RAD,2015-09-10,-0.1
790,SONC,2015-09-10,0.1
816,SVU,2015-09-10,-0.1
3810,AZO,2015-09-22,close all
478,BBBY,2015-09-25,close all
2191,COST,2015-09-30,close all
3181,FINL,2015-09-25,close all
4471,ISCA,2015-10-08,close all
4821,KMX,2015-09-22,close all
6201,PIR,2015-09-25,close all
6551,RAD,2015-09-17,close all
7901,SONC,2015-10-20,close all
8161,SVU,2015-10-21,close all
42,AZO,2016-09-10,-0.1111111111
5110,BBBY,2016-09-10,-0.1111111111
223,COST,2016-09-10,-0.1111111111
322,FINL,2016-09-10,-0.1111111111
451,ISCA,2016-09-10,0.1111111111
624,PIR,2016-09-10,0.1111111111
659,RAD,2016-09-10,-0.1111111111
794,SONC,2016-09-10,-0.1111111111
820,SVU,2016-09-10,-0.1111111111
4210,AZO,2016-09-22,close all
5112,BBBY,2016-09-22,close all
2231,COST,2016-09-30,close all
3221,FINL,2016-09-23,close all
4511,ISCA,2016-10-06,close all
6241,PIR,2016-09-29,close all
6591,RAD,2016-09-22,close all
7941,SONC,2016-10-25,close all
8201,SVU,2016-10-19,close all
46,BBBY,2015-06-10,0.1428571429
317,FINL,2015-06-10,0.1428571429
446,ISCA,2015-06-10,-0.1428571429
481,KMX,2015-06-10,-0.1428571429
6191,PIR,2015-06-10,-0.1428571429
789,SONC,2015-06-10,-0.1428571429
815,SVU,2015-06-10,-0.1428571429
469,BBBY,2015-06-25,close all
3171,FINL,2015-06-26,close all
4461,ISCA,2015-07-02,close all
4811,KMX,2015-06-19,close all
6192,PIR,2015-06-18,close all
7891,SONC,2015-06-23,close all
8151,SVU,2015-07-28,close all
48,BBBY,2015-12-10,-0.1428571429
319,FINL,2015-12-10,0.1428571429
448,ISCA,2015-12-10,-0.1428571429
6211,PIR,2015-12-10,-0.1428571429
656,RAD,2015-12-10,0.1428571429
7911,SONC,2015-12-10,0.1428571429
817,SVU,2015-12-10,-0.1428571429
483,BBBY,2016-01-08,close all
3191,FINL,2016-01-07,close all
4481,ISCA,2016-01-26,close all
6212,PIR,2015-12-17,close all
6561,RAD,2015-12-17,close all
7912,SONC,2016-01-06,close all
8171,SVU,2016-01-13,close all
49,BBBY,2016-03-10,-0.1428571429
320,FINL,2016-03-10,-0.1428571429
449,ISCA,2016-03-10,0.1428571429
622,PIR,2016-03-10,-0.1428571429
657,RAD,2016-03-10,-0.1428571429
792,SONC,2016-03-10,0.1428571429
818,SVU,2016-03-10,-0.1428571429
498,BBBY,2016-04-07,close all
3201,FINL,2016-03-24,close all
4491,ISCA,2016-04-05,close all
6221,PIR,2016-04-14,close all
6571,RAD,2016-04-07,close all
7921,SONC,2016-03-30,close all
8181,SVU,2016-04-26,close all
50,BBBY,2016-06-10,0.1428571429
3211,FINL,2016-06-10,0.1428571429
450,ISCA,2016-06-10,0.1428571429
623,PIR,2016-06-10,0.1428571429
658,RAD,2016-06-10,-0.1428571429
793,SONC,2016-06-10,-0.1428571429
819,SVU,2016-06-10,-0.1428571429
501,BBBY,2016-06-23,close all
3212,FINL,2016-06-24,close all
4501,ISCA,2016-07-05,close all
6231,PIR,2016-06-30,close all
6581,RAD,2016-06-16,close all
7931,SONC,2016-06-24,close all
8191,SVU,2016-07-27,close all
52,BBBY,2016-12-10,0.1428571429
323,FINL,2016-12-10,0.1428571429
452,ISCA,2016-12-10,-0.1428571429
625,PIR,2016-12-10,0.1428571429
660,RAD,2016-12-10,-0.1428571429
795,SONC,2016-12-10,-0.1428571429
8211,SVU,2016-12-10,0.1428571429
529,BBBY,2016-12-22,close all
3231,FINL,2016-12-21,close all
4521,ISCA,2017-01-26,close all
6251,PIR,2016-12-15,close all
6601,RAD,2016-12-22,close all
7951,SONC,2017-01-05,close all
8212,SVU,2017-01-11,close all
53,BBBY,2017-03-10,0.1428571429
324,FINL,2017-03-10,-0.1428571429
453,ISCA,2017-03-10,0.1428571429
626,PIR,2017-03-10,-0.1428571429
6611,RAD,2017-03-10,-0.1428571429
796,SONC,2017-03-10,0.1428571429
822,SVU,2017-03-10,0.1428571429
531,BBBY,2017-04-06,close all
3241,FINL,2017-03-24,close all
4531,ISCA,2017-04-04,close all
6261,PIR,2017-04-13,close all
6612,RAD,2017-04-25,close all
7961,SONC,2017-03-29,close all
8221,SVU,2017-04-25,close all
